Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
5.01187233627269e+06	(2.80585722762874e+01dB,-8.84585844884939e+01°)	(2.54397433551585e+01dB,1.65088636695989e+02°)	(2.61882892112893e+00dB,1.06452778815517e+02°)
5.62341325190346e+06	(2.70521581926734e+01dB,-8.89061424379300e+01°)	(2.52569136399398e+01dB,1.63906673711454e+02°)	(1.79524455273358e+00dB,1.07187183850616e+02°)
6.30957344480189e+06	(2.60436118707130e+01dB,-8.93307818574069e+01°)	(2.50489186884174e+01dB,1.62752492886964e+02°)	(9.94693182295622e-01dB,1.07916725255629e+02°)
7.07945784384133e+06	(2.50328286508888e+01dB,-8.97356595786988e+01°)	(2.48164936695077e+01dB,1.61656777882004e+02°)	(2.16334981381097e-01dB,1.08607562539297e+02°)
7.94328234724276e+06	(2.40197145729161e+01dB,-9.01232795466107e+01°)	(2.45618080460911e+01dB,1.60650169482578e+02°)	(-5.42093473174939e-01dB,1.09226550970811e+02°)
8.91250938133740e+06	(2.30042097846388e+01dB,-9.04955945848999e+01°)	(2.42885290589483e+01dB,1.59759966251540e+02°)	(-1.28431927430948e+00dB,1.09744439163560e+02°)
9.99999999999993e+06	(2.19863088423114e+01dB,-9.08541711902075e+01°)	(2.40016832953138e+01dB,1.59006581186156e+02°)	(-2.01537445300237e+00dB,1.10139247623637e+02°)
1.12201845430196e+07	(2.09660725566497e+01dB,-9.12004162856088e+01°)	(2.37073018343367e+01dB,1.58400377154013e+02°)	(-2.74122927768699e+00dB,1.10399206560378e+02°)
1.25892541179416e+07	(1.99436257842979e+01dB,-9.15358434012172e+01°)	(2.34118843391290e+01dB,1.57939520757960e+02°)	(-3.46825855483110e+00dB,1.10524635840823e+02°)
1.41253754462274e+07	(1.89191373571448e+01dB,-9.18623331327254e+01°)	(2.31217640816672e+01dB,1.57609322927353e+02°)	(-4.20262672452238e+00dB,1.10528343939921e+02°)
1.58489319246110e+07	(1.78927824320945e+01dB,-9.21823283492956e+01°)	(2.28424823176141e+01dB,1.57383214124871e+02°)	(-4.94969988551957e+00dB,1.10434457525833e+02°)
1.77827941003891e+07	(1.68646926317829e+01dB,-9.24989091131730e+01°)	(2.25782767982539e+01dB,1.57225134247211e+02°)	(-5.71358416647098e+00dB,1.10275956639616e+02°)
1.99526231496887e+07	(1.58349034070232e+01dB,-9.28157174840450e+01°)	(2.23317567629496e+01dB,1.57092825536996e+02°)	(-6.49685335592643e+00dB,1.10091456978959e+02°)
2.23872113856832e+07	(1.48033090282523e+01dB,-9.31367395822509e+01°)	(2.21037879681835e+01dB,1.56941390974282e+02°)	(-7.30047893993119e+00dB,1.09921869443467e+02°)
